,l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
0,1,1552,93,1,17,24710.35,0.04,0.02,N,O,1996-03-13,1996-02-12,1996-03-22,DELIVER IN PERSON,TRUCK,egular courts above the
1,1,674,75,2,36,56688.12,0.09,0.06,N,O,1996-04-12,1996-02-28,1996-04-20,TAKE BACK RETURN,MAIL,ly final dependencies: slyly bold 
2,1,637,38,3,8,12301.04,0.1,0.02,N,O,1996-01-29,1996-03-05,1996-01-31,TAKE BACK RETURN,REG AIR,"riously. regular, express dep"
3,1,22,48,4,28,25816.56,0.09,0.06,N,O,1996-04-21,1996-03-30,1996-05-16,NONE,AIR,lites. fluffily even de
4,1,241,23,5,24,27389.76,0.1,0.04,N,O,1996-03-30,1996-03-14,1996-04-01,NONE,FOB, pending foxes. slyly re
5,1,157,10,6,32,33828.8,0.07,0.02,N,O,1996-01-30,1996-02-07,1996-02-03,DELIVER IN PERSON,MAIL,arefully slyly ex
6,2,1062,33,1,38,36596.28,0.0,0.05,N,O,1997-01-28,1997-01-14,1997-02-02,TAKE BACK RETURN,RAIL,ven requests. deposits breach a
7,3,43,19,1,45,42436.8,0.06,0.0,R,F,1994-02-02,1994-01-04,1994-02-23,NONE,AIR,ongside of the furiously brave acco
8,3,191,70,2,49,53468.31,0.1,0.0,R,F,1993-11-09,1993-12-20,1993-11-24,TAKE BACK RETURN,RAIL, unusual accounts. eve
9,3,1285,60,3,27,32029.56,0.06,0.07,A,F,1994-01-16,1993-11-22,1994-01-23,DELIVER IN PERSON,SHIP,nal foxes wake. 
10,3,294,22,4,2,2388.58,0.01,0.06,A,F,1993-12-04,1994-01-07,1994-01-01,NONE,TRUCK,y. fluffily pending d
11,3,1831,61,5,28,48519.24,0.04,0.0,R,F,1993-12-14,1994-01-10,1994-01-01,TAKE BACK RETURN,FOB,ages nag slyly pending
12,3,622,16,6,26,39588.12,0.1,0.02,A,F,1993-10-29,1993-12-18,1993-11-04,TAKE BACK RETURN,RAIL,ges sleep after the caref
13,4,881,81,1,30,53456.4,0.03,0.08,N,O,1996-01-10,1995-12-14,1996-01-18,DELIVER IN PERSON,REG AIR,- quickly regular packages sleep. idly
14,5,1086,87,1,15,14806.2,0.02,0.04,R,F,1994-10-31,1994-08-31,1994-11-20,NONE,AIR,ts wake furiously 
15,5,1240,41,2,26,29672.24,0.07,0.08,R,F,1994-10-16,1994-09-25,1994-10-19,NONE,FOB,sts use slyly quickly special instruc
16,5,376,5,3,50,63818.5,0.08,0.03,A,F,1994-08-08,1994-10-13,1994-08-26,DELIVER IN PERSON,AIR,eodolites. fluffily unusual
17,6,1397,36,1,37,48040.43,0.08,0.03,A,F,1992-04-27,1992-05-15,1992-05-02,TAKE BACK RETURN,TRUCK,p furiously special foxes
18,7,1821,51,1,12,20673.84,0.07,0.03,N,O,1996-05-07,1996-03-13,1996-06-03,TAKE BACK RETURN,FOB,ss pinto beans wake against th
19,7,1453,93,2,9,12190.05,0.08,0.08,N,O,1996-02-01,1996-03-02,1996-02-19,TAKE BACK RETURN,SHIP,es. instructions
20,7,948,17,3,46,85051.24,0.1,0.07,N,O,1996-01-15,1996-03-27,1996-02-03,COLLECT COD,MAIL, unusual reques
21,7,1631,32,4,28,42913.64,0.03,0.04,N,O,1996-03-21,1996-04-08,1996-04-20,NONE,FOB,. slyly special requests haggl
22,7,1519,40,5,38,53979.38,0.08,0.01,N,O,1996-02-11,1996-02-24,1996-02-18,DELIVER IN PERSON,TRUCK,ns haggle carefully ironic deposits. bl
23,7,793,26,6,35,59282.65,0.06,0.03,N,O,1996-01-16,1996-02-23,1996-01-22,TAKE BACK RETURN,FOB,jole. excuses wake carefully alongside of 
24,7,1573,54,7,5,7372.85,0.04,0.02,N,O,1996-02-10,1996-03-26,1996-02-13,NONE,FOB,ithely regula
25,32,828,95,1,28,48406.96,0.05,0.08,N,O,1995-10-23,1995-08-27,1995-10-26,TAKE BACK RETURN,TRUCK,sleep quickly. req
26,32,1980,25,2,32,60223.36,0.02,0.0,N,O,1995-08-14,1995-10-07,1995-08-27,COLLECT COD,AIR,lithely regular deposits. fluffily 
27,32,442,72,3,2,2684.88,0.09,0.02,N,O,1995-08-07,1995-10-07,1995-08-23,DELIVER IN PERSON,AIR, express accounts wake according to the
28,32,28,79,4,4,3712.08,0.09,0.03,N,O,1995-08-04,1995-10-01,1995-09-03,NONE,REG AIR,e slyly final pac
29,32,859,93,5,44,77433.4,0.05,0.06,N,O,1995-08-28,1995-08-20,1995-09-14,DELIVER IN PERSON,AIR,symptotes nag according to the ironic depo
30,32,117,44,6,6,6102.66,0.04,0.03,N,O,1995-07-21,1995-09-23,1995-07-25,COLLECT COD,RAIL, gifts cajole carefully.
31,33,614,8,1,31,46952.91,0.09,0.04,A,F,1993-10-29,1993-12-19,1993-11-08,COLLECT COD,TRUCK,ng to the furiously ironic package
32,33,606,69,2,32,48211.2,0.02,0.05,A,F,1993-12-09,1994-01-04,1993-12-28,COLLECT COD,MAIL,gular theodolites
33,33,1375,14,3,5,6381.85,0.05,0.03,A,F,1993-12-09,1993-12-25,1993-12-23,TAKE BACK RETURN,AIR,. stealthily bold exc
34,33,340,41,4,41,50853.94,0.09,0.0,R,F,1993-11-09,1994-01-24,1993-11-11,TAKE BACK RETURN,MAIL,unusual packages doubt caref
35,34,884,18,1,13,23203.44,0.0,0.07,N,O,1998-10-23,1998-09-14,1998-11-06,NONE,REG AIR,nic accounts. deposits are alon
36,34,895,29,2,22,39509.58,0.08,0.06,N,O,1998-10-09,1998-10-16,1998-10-12,NONE,FOB,thely slyly p
