,o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
0,1,370,O,172799.49,1996-01-02,5-LOW,Clerk#000000951,0,nstructions sleep furiously among 
1,2,781,O,38426.09,1996-12-01,1-URGENT,Clerk#000000880,0," foxes. pending accounts at the pending, silent asymptot"
2,3,1234,F,205654.3,1993-10-14,5-LOW,Clerk#000000955,0,sly final accounts boost. carefully regular ideas cajole carefully. depos
3,4,1369,O,56000.91,1995-10-11,5-LOW,Clerk#000000124,0,"sits. slyly regular warthogs cajole. regular, regular theodolites acro"
4,5,445,F,105367.67,1994-07-30,5-LOW,Clerk#000000925,0,quickly. bold deposits sleep slyly. packages use slyly
5,6,557,F,45523.1,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0,"ggle. special, final requests are against the furiously specia"
6,7,392,O,271885.66,1996-01-10,2-HIGH,Clerk#000000470,0,ly special requests 
7,32,1301,O,198665.57,1995-07-16,2-HIGH,Clerk#000000616,0,"ise blithely bold, regular requests. quickly unusual dep"
8,33,670,F,146567.24,1993-10-27,3-MEDIUM,Clerk#000000409,0,uriously. furiously final request
9,34,611,O,73315.48,1998-07-21,3-MEDIUM,Clerk#000000223,0,ly final packages. fluffily final deposits wake blithely ideas. spe
10,35,1276,O,194641.93,1995-10-23,4-NOT SPECIFIED,Clerk#000000259,0,zzle. carefully enticing deposits nag furio
11,36,1153,O,42011.04,1995-11-03,1-URGENT,Clerk#000000358,0, quick packages are blithely. slyly silent accounts wake qu
12,37,862,F,131896.49,1992-06-03,3-MEDIUM,Clerk#000000456,0,kly regular pinto beans. carefully unusual waters cajole never
13,38,1249,O,71553.08,1996-08-21,4-NOT SPECIFIED,Clerk#000000604,0,haggle blithely. furiously express ideas haggle blithely furiously regular re
14,39,818,O,326565.37,1996-09-20,3-MEDIUM,Clerk#000000659,0,"ole express, ironic requests: ir"
15,64,322,F,35831.73,1994-07-16,3-MEDIUM,Clerk#000000661,0,wake fluffily. sometimes ironic pinto beans about the dolphin
16,65,163,P,95469.44,1995-03-18,1-URGENT,Clerk#000000632,0,ular requests are blithely pending orbits-- even requests against the deposit
17,66,1292,F,104190.66,1994-01-20,5-LOW,Clerk#000000743,0,y pending requests integrate
18,67,568,O,182481.16,1996-12-19,4-NOT SPECIFIED,Clerk#000000547,0,symptotes haggle slyly around the furiously iron
19,68,286,O,301968.79,1998-04-18,3-MEDIUM,Clerk#000000440,0, pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
20,69,845,F,204110.73,1994-06-04,4-NOT SPECIFIED,Clerk#000000330,0, depths atop the slyly thin deposits detect among the furiously silent accou
21,70,644,F,125705.32,1993-12-18,5-LOW,Clerk#000000322,0, carefully ironic request
22,71,34,O,260603.38,1998-01-24,4-NOT SPECIFIED,Clerk#000000271,0, express deposits along the blithely regul
23,96,1078,F,64364.3,1994-04-17,2-HIGH,Clerk#000000395,0,oost furiously. pinto
24,97,211,F,100572.55,1993-01-29,3-MEDIUM,Clerk#000000547,0,hang blithely along the regular accounts. furiously even ideas after the
25,98,1045,F,71721.4,1994-09-25,1-URGENT,Clerk#000000448,0,c asymptotes. quickly regular packages should have to nag re
26,99,890,F,108594.87,1994-03-13,4-NOT SPECIFIED,Clerk#000000973,0,e carefully ironic packages. pending
27,100,1471,O,198978.27,1998-02-28,4-NOT SPECIFIED,Clerk#000000577,0,heodolites detect slyly alongside of the ent
28,101,280,O,118448.39,1996-03-17,3-MEDIUM,Clerk#000000419,0,ding accounts above the slyly final asymptote
29,102,8,O,184806.58,1997-05-09,2-HIGH,Clerk#000000596,0, slyly according to the asymptotes. carefully final packages integrate furious
30,103,292,O,118745.16,1996-06-20,4-NOT SPECIFIED,Clerk#000000090,0,ges. carefully unusual instructions haggle quickly regular f
31,128,740,F,34997.04,1992-06-15,1-URGENT,Clerk#000000385,0,ns integrate fluffily. ironic asymptotes after the regular excuses nag around 
32,129,712,F,254281.41,1992-11-19,5-LOW,Clerk#000000859,0,ing tithes. carefully pending deposits boost about the silently express 
33,130,370,F,140213.54,1992-05-08,2-HIGH,Clerk#000000036,0,"le slyly unusual, regular packages? express deposits det"
34,131,928,F,140726.47,1994-06-08,3-MEDIUM,Clerk#000000625,0,after the fluffily special foxes integrate s
35,132,265,F,133485.89,1993-06-11,3-MEDIUM,Clerk#000000488,0,sits are daringly accounts. carefully regular foxes sleep slyly about the
36,133,440,O,95971.06,1997-11-29,1-URGENT,Clerk#000000738,0,usly final asymptotes 
37,134,62,F,208201.46,1992-05-01,4-NOT SPECIFIED,Clerk#000000711,0,lar theodolites boos
