STORE,NAME,ADDRESS,CITY,ZIPCODE,COUNTY_NUMBER,COUNTY,CATEGORY,CATEGORY_NAME,VENDOR_NO,VENDOR,ITEM,DESCRIPTION,PACK,LITER_SIZE,STATE_BTL_COST,BTL_PRICE,BOTTLE_QTY,TOTAL
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,434,Luxco-St Louis,87937,Juarez Tequila Silver,12,1000,6.92,10.38,48,498.24
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,434,Luxco-St Louis,87938,Juarez Tequila Silver,6,1750,13.5,20.25,6,121.5
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1012200,SCOTCH WHISKIES,55,Sazerac North America,8824,Lauder's,24,375,3.21,4.82,3,14.46
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,410,The Patron Spirits Company,88294,Patron Silver Tequila,12,375,14,21,2,42
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,421,"Sazerac Co., Inc.",88767,Tortilla White Tequila,12,1000,6.64,9.96,24,239.04
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,260,Diageo Americas,89175,Don Julio Anejo Tequila,6,750,32.49,48.74,2,97.48
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,434,Luxco-St Louis,89182,El Mayor Reposado,6,750,13.5,20.25,2,40.5
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,395,Proximo,89197,Jose Cuervo Especial Reposado Tequila,12,1000,12.5,18.75,12,225
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,395,Proximo,89198,Jose Cuervo Especial Reposado Tequila,6,1750,20.25,30.38,6,182.28
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,395,Proximo,89199,Jose Cuervo Especial Reposado Square,12,375,5.5,8.25,2,16.5
